Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,SOS,Momentum,Intuition
South Carolina State,,99.0,,,,70.3,0.462,,17.8,,52.8,-6.18,,0.0
South Carolina Upstate,,102.4,,,,68.4,0.511,,14.7,,45.5,-3.02,,0.0
South Dakota,,107.3,,,,69.8,0.522,,15.8,,52.1,-5.41,,0.0
South Dakota State,,110.7,,,,68.6,0.555,,14.6,,51.4,-2.7,,0.0
South Florida,,109.8,,,,69.0,0.518,,13.7,,49.5,0.97,,0.0
Southeast Missouri State,,94.8,,,,70.4,0.465,,15.1,,46.8,-6.55,,0.0
Southeastern Louisiana,,102.3,,,,66.9,0.498,,17.7,,51.0,-6.14,,0.0
Southern,,99.8,,,,70.7,0.502,,17.6,,48.9,-6.09,,0.0
nan,,,,,,,,,,,,,,0.0
Southern California,,104.8,,,,69.7,0.517,,15.7,,48.6,9.54,,0.0
Southern Illinois,,109.3,,,,65.4,0.529,,14.8,,50.8,0.52,,0.0
SIU Edwardsville,,105.6,,,,67.7,0.484,,13.5,,50.5,-7.54,,0.0
Southern Indiana,,98.1,,,,69.7,0.466,,16.5,,49.7,-5.59,,0.0
Southern Methodist,,111.5,,,,68.6,0.507,,13.5,,53.4,2.56,,0.0
Southern Mississippi,,100.6,,,,69.5,0.479,,16.0,,50.1,-2.93,,0.0
Southern Utah,,104.6,,,,71.4,0.493,,14.6,,47.5,-1.17,,0.0
St. Bonaventure,,110.0,,,,66.0,0.523,,14.2,,50.6,1.95,,0.0
St. John's (NY),,113.3,,,,69.6,0.509,,13.0,,53.6,9.58,,0.0
St. Thomas,,113.4,,,,63.9,0.553,,12.7,,50.0,-5.72,,0.0
Stanford,,106.1,,,,70.9,0.543,,16.1,,49.0,7.48,,0.0
Stephen F. Austin,,102.4,,,,71.5,0.503,,18.9,,52.2,-1.76,,0.0
Stetson,,113.4,,,,67.5,0.539,,13.6,,50.0,-3.24,,0.0
Stonehill,,91.4,,,,69.2,0.47,,17.5,,45.7,-6.1,,0.0
Stony Brook,,106.6,,,,67.5,0.504,,13.0,,49.6,-2.62,,0.0
Syracuse,,105.9,,,,72.1,0.518,,14.1,,46.9,9.4,,0.0
Tarleton State,,108.0,,,,68.4,0.503,,14.1,,49.4,-0.97,,0.0
TCU,,110.3,,,,70.6,0.515,,15.2,,53.4,7.32,,0.0
Temple,,102.1,,,,68.0,0.463,,12.3,,48.2,1.68,,0.0
Tennessee,,112.1,,,,70.3,0.511,,12.5,,52.4,10.42,,0.0
nan,,,,,,,,,,,,,,0.0
Tennessee State,,103.8,,,,69.8,0.5,,16.5,,49.4,-7.64,,0.0
Tennessee Tech,,98.9,,,,67.6,0.508,,16.0,,46.2,-6.29,,0.0
Tennessee-Martin,,108.6,,,,74.5,0.512,,13.4,,51.9,-7.25,,0.0
Texas,,110.1,,,,68.2,0.53,,14.7,,50.4,9.41,,0.0
Texas A&M,,111.4,,,,67.8,0.457,,11.3,,56.0,9.32,,0.0
Texas A&M-Corpus Christi,,105.2,,,,71.2,0.479,,14.3,,54.5,-7.24,,0.0
Texas Southern,,100.5,,,,69.5,0.476,,15.5,,49.2,-7.03,,0.0
Texas State,,101.4,,,,68.4,0.484,,16.7,,51.3,-0.74,,0.0
Texas Tech,,111.7,,,,67.2,0.526,,14.3,,50.9,9.28,,0.0
