Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Toledo,,114.0,,,,70.2,0.54,,13.5,,-1.88,,0.0
Towson,,99.5,,,,66.8,0.454,,15.5,,-2.33,,0.0
Troy,,92.7,,,,70.2,0.452,,18.3,,-4.06,,0.0
nan,,,,,,,,,,,,,0.0
Tulane,,94.3,,,,67.8,0.442,,14.8,,3.59,,0.0
Tulsa,,100.5,,,,68.0,0.511,,17.4,,5.43,,0.0
UAB,,105.3,,,,68.9,0.493,,13.2,,-3.83,,0.0
UC Davis,,99.8,,,,70.7,0.49,,17.9,,-4.24,,0.0
UC Irvine,,103.4,,,,69.2,0.492,,16.0,,-0.86,,0.0
UC Riverside,,104.0,,,,66.8,0.525,,15.7,,-2.43,,0.0
UC San Diego,,101.0,,,,70.2,0.556,,17.4,,0.98,,0.0
UC Santa Barbara,,112.0,,,,67.2,0.541,,14.2,,-2.08,,0.0
UCF,,98.3,,,,68.0,0.501,,19.0,,8.15,,0.0
UCLA,,108.4,,,,65.4,0.52,,13.6,,11.34,,0.0
UNC Asheville,,103.1,,,,69.9,0.546,,18.6,,-7.59,,0.0
UNC Greensboro,,103.1,,,,70.5,0.479,,13.1,,-2.15,,0.0
UNC Wilmington,,107.1,,,,70.7,0.5,,13.8,,-6.47,,0.0
UT Arlington,,102.4,,,,71.6,0.479,,14.3,,-4.57,,0.0
Utah,,105.6,,,,67.6,0.531,,16.5,,9.54,,0.0
Utah State,,104.4,,,,69.5,0.5,,16.9,,1.32,,0.0
Utah Tech,,94.0,,,,74.0,0.471,,18.3,,-3.43,,0.0
Utah Valley,,102.5,,,,72.0,0.522,,18.0,,-1.61,,0.0
UTEP,,101.1,,,,69.6,0.484,,13.9,,1.26,,0.0
UTSA,,107.4,,,,73.4,0.508,,13.7,,-0.17,,0.0
nan,,,,,,,,,,,,,0.0
Valparaiso,,94.3,,,,68.3,0.479,,16.3,,1.14,,0.0
Vanderbilt,,103.0,,,,69.6,0.512,,17.4,,6.74,,0.0
Vermont,,108.1,,,,66.4,0.533,,16.0,,-7.61,,0.0
Villanova,,113.3,,,,65.7,0.532,,12.1,,9.19,,0.0
Virginia,,111.5,,,,60.8,0.554,,13.5,,7.59,,0.0
Virginia Commonwealth,,101.2,,,,70.5,0.509,,18.3,,4.76,,0.0
VMI,,109.5,,,,72.3,0.554,,15.5,,-0.78,,0.0
Virginia Tech,,106.7,,,,66.4,0.523,,15.1,,6.5,,0.0
Wagner,,104.8,,,,66.8,0.491,,15.3,,-7.9,,0.0
Wake Forest,,97.7,,,,67.4,0.49,,17.7,,8.06,,0.0
Washington,,95.3,,,,71.0,0.489,,17.3,,11.61,,0.0
Washington State,,97.4,,,,68.6,0.479,,18.7,,6.93,,0.0
Weber State,,112.8,,,,72.5,0.579,,15.9,,-5.22,,0.0
West Virginia,,108.2,,,,70.6,0.489,,14.1,,10.05,,0.0
Western Carolina,,102.2,,,,72.2,0.526,,17.3,,-2.03,,0.0
Western Illinois,,99.3,,,,73.5,0.461,,15.2,,-4.62,,0.0
Western Kentucky,,104.4,,,,69.1,0.505,,17.8,,0.5,,0.0
Western Michigan,,92.4,,,,68.3,0.494,,19.1,,-1.21,,0.0
Wichita State,,103.0,,,,68.6,0.472,,13.7,,6.91,,0.0
William & Mary,,95.6,,,,67.2,0.461,,17.5,,-3.99,,0.0
nan,,,,,,,,,,,,,0.0
Winthrop,,108.8,,,,72.5,0.526,,16.4,,-7.15,,0.0
Wisconsin,,105.4,,,,65.8,0.499,,12.1,,11.93,,0.0
Wofford,,109.4,,,,67.6,0.56,,16.6,,-0.24,,0.0
Wright State,,113.0,,,,72.1,0.544,,15.5,,-7.65,,0.0
Wyoming,,108.5,,,,69.9,0.537,,14.3,,-2.31,,0.0
Xavier,,106.3,,,,69.5,0.521,,14.0,,6.47,,0.0
Youngstown State,,106.3,,,,69.1,0.484,,13.9,,-8.17,,0.0
